paper_id,theme,year,title,authors,venue_or_status,task,dataset_or_evidence,method_focus,missing_modality_handling,hypergraph_connection,relevance_to_project,verification,identifier,notes
CLS-2021-XAI,brain_tumor_mri_classification,2021,"Improving a neural network model by explanation-guided training for glioma classification based on MRI data","Frantisek Sefcik; Wanda Benesova",arXiv preprint,glioma grade classification,"Low-grade vs high-grade glioma classification experiments","CNN training guided by layer-wise relevance propagation explanations",not designed for missing modalities,"No explicit hypergraph; classification-side relevance for HGG/LGG task","Useful as classification-context paper, especially for explainability-aware training","https://arxiv.org/abs/2107.02008","arXiv:2107.02008","Classification paper is less central than BraTS missing-modality segmentation works."
MM-2021-ACN,missing_modality_multimodal_mri,2021,"ACN: Adversarial Co-training Network for Brain Tumor Segmentation with Missing Modalities","Yixin Wang; Yang Zhang; Yang Liu; Zihao Lin; Jiang Tian; Cheng Zhong; Zhongchao Shi; Jianping Fan; Zhiqiang He",arXiv preprint,missing-modality brain tumor segmentation,"BraTS 2018","Adversarial co-training between full-modality and missing-modality models plus entropy/knowledge adversarial modules","Dedicated models for different missing situations; recovers missing information in latent/domain space","No explicit hypergraph; strong missing-modality baseline context","Core related work for missing-modality BraTS robustness","https://arxiv.org/abs/2106.14591","arXiv:2106.14591","Important 2021 baseline; verify final venue before formal citation."
MM-2022-MAFNET,missing_modality_multimodal_mri,2022,"Multi-modal Brain Tumor Segmentation via Missing Modality Synthesis and Modality-level Attention Fusion","Ziqi Huang; Li Lin; Pujin Cheng; Linkai Peng; Xiaoying Tang",arXiv preprint,missing-modality synthesis plus segmentation,"BraTS 2020","Patchwise contrastive learning, missing-modality synthesis, and modality-level attention fusion","Synthesizes unavailable modalities such as T1ce and uses attention fusion downstream","No explicit hypergraph; synthesis-based missing-modality comparator","Relevant if positioning against modality reconstruction/completion methods","https://arxiv.org/abs/2203.04586","arXiv:2203.04586","Useful for the distinction between zeroing missing inputs, synthesis, and latent completion."
MM-2022-MMFORMER,missing_modality_multimodal_mri,2022,"mmFormer: Multimodal Medical Transformer for Incomplete Multimodal Learning of Brain Tumor Segmentation","Yao Zhang; Nanjun He; Jiawei Yang; Yuexiang Li; Dong Wei; Yawen Huang; Yang Zhang; Zhiqiang He; Yefeng Zheng",arXiv preprint,missing-modality brain tumor segmentation,"BraTS 2018","Hybrid modality-specific CNN/Transformer encoders plus inter-modal Transformer alignment",single model robust to arbitrary available modality subsets,"No explicit hypergraph; transformer-based incomplete multimodal baseline","Core comparator for incomplete multimodal BraTS segmentation","https://arxiv.org/abs/2206.02425","arXiv:2206.02425","High relevance; verify final conference/journal version if needed."
MM-2022-DIGEST,missing_modality_multimodal_mri,2022,"DIGEST: Deeply supervIsed knowledGE tranSfer neTwork learning for brain tumor segmentation with incomplete multi-modal MRI scans","Haoran Li; Cheng Li; Weijian Huang; Xiawu Zheng; Yan Xi; Shanshan Wang",arXiv preprint,missing-modality brain tumor segmentation,"BraTS 2020","Teacher-student knowledge transfer with deeply supervised consistency at decoder stages","Simulates modality-missing conditions by Bernoulli sampling and trains incomplete multimodal student","No explicit hypergraph; knowledge-transfer baseline","Relevant to compare with training-time missing simulation and distillation","https://arxiv.org/abs/2211.07993","arXiv:2211.07993","Useful for distillation-based missing-modality branch."
MM-2023-M3AE,missing_modality_multimodal_mri,2023,"M3AE: Multimodal Representation Learning for Brain Tumor Segmentation with Missing Modalities","Hong Liu; Dong Wei; Donghuan Lu; Jinghan Sun; Liansheng Wang; Yefeng Zheng",arXiv preprint,missing-modality brain tumor segmentation,"BraTS 2018 and BraTS 2020","Multimodal masked autoencoder pretraining, model inversion, and memory-efficient self-distillation","Masks random modalities and patches during reconstruction; substitutes representative full-modal image at inference","No explicit hypergraph; representation-learning baseline for missing modalities","Core recent missing-modality paper for self-supervised representation framing","https://arxiv.org/abs/2303.05302","arXiv:2303.05302","High relevance to any latent-feature completion discussion."
MM-2024-MPPA,missing_modality_multimodal_mri,2024,"Unveiling Incomplete Modality Brain Tumor Segmentation: Leveraging Masked Predicted Auto-Encoder and Divergence Learning","Zhongao Sun; Jiameng Li; Yuhan Wang; Jiarong Cheng; Qing Zhou; Chun Li",arXiv preprint,missing-modality brain tumor segmentation,"BraTS 2018 and BraTS 2020","Masked predicted pretraining plus Holder pseudo-divergence distillation","Learns robust features from incomplete modalities and aligns complete/missing features during fine-tuning","No explicit hypergraph; recent autoencoder/distillation comparator","Relevant to current 2024 missing-modality pretraining trend","https://arxiv.org/abs/2406.08634","arXiv:2406.08634","Recent preprint; verify final publication status before citing as established."
MM-2024-ALIGN,missing_modality_multimodal_mri,2024,"Mind the Gap: Promoting Missing Modality Brain Tumor Segmentation with Alignment","Tianyi Liu; Zhaorui Tan; Haochuan Jiang; Xi Yang; Kaizhu Huang",arXiv preprint,missing-modality brain tumor segmentation,"Different backbones evaluated on missing-modality segmentation experiments","Distribution-anchor alignment and knowledge distillation for modality-invariant features","Aligns latent features across modalities to reduce modality gaps between teacher and students","No explicit hypergraph; alignment-based missing-modality comparator","Relevant for explaining feature-alignment alternatives to hypergraph/fusion designs","https://arxiv.org/abs/2409.19366","arXiv:2409.19366","Good source for modality-gap framing; preprint status."
MM-2025-REHYDIL,missing_modality_multimodal_mri;hypergraph_learning,2025,"Hypergraph Tversky-Aware Domain Incremental Learning for Brain Tumor Segmentation with Missing Modalities","Junze Wang; Lei Fan; Weipeng Jing; Donglin Di; Yang Song; Sidong Liu; Cong Cong",arXiv preprint,missing-modality brain tumor segmentation under domain-incremental learning,"BraTS 2019","Replay-based domain incremental learning, cross-patient hypergraph segmentation network, Tversky-aware contrastive loss","Learns from newly available MRI modalities without forgetting earlier modality domains","Direct hypergraph use for cross-patient high-order associations","Very close topical overlap: hypergraph + missing modalities + brain tumor MRI","https://arxiv.org/abs/2505.16809","arXiv:2505.16809","High-priority candidate but very recent; verify code/final version before strong claims."
MM-2025-ADAMM,missing_modality_multimodal_mri,2025,"No Modality Left Behind: Adapting to Missing Modalities via Knowledge Distillation for Brain Tumor Segmentation","Shenghao Zhu; Yifei Chen; Weihong Chen; Shuo Jiang; Guanyu Zhou; Yuanhan Wang; Feiwei Qin; Changmiao Wang; Qiyuan Tian",arXiv preprint,missing-modality brain tumor segmentation,"BraTS 2018 and BraTS 2024","Graph-guided adaptive refinement, bi-bottleneck distillation, lesion-presence-guided reliability","Knowledge distillation for single-modality and weak-modality configurations","Graph-guided refinement but not necessarily hypergraph","Recent comparator for graph-guided missing-modality distillation","https://arxiv.org/abs/2509.15017","arXiv:2509.15017","Recent 2025 preprint; useful but should be treated as emerging evidence."
MM-2026-SIUM,missing_modality_multimodal_mri,2026,"Set-Inclusive Uncertainty Modeling for Robust Brain Tumor Segmentation","Seunghun Baek; Jihwan Park; Jaeyoon Sim; Hoseok Lee; Seungjoo Lee; Won Hwa Kim",arXiv preprint,missing-modality brain tumor segmentation,"BraTS 2018 and BraTS 2020","Probabilistic representation with variance tied to information deficiency and set-inclusive subset ordering","Models uncertainty induced by missing evidence across modality subsets","No explicit hypergraph; relevant for uncertainty and subset hierarchy under missing modalities","Potential future-facing comparator for missing-modality reliability, but very recent","https://arxiv.org/abs/2606.30374","arXiv:2606.30374","Added because it is within the requested 2021-2026 window as of 2026-07-06; preprint-only."
